yr,season,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,1,0,0,6,1,3.28,3,-1,0,3,13,16
0,1,1,1,0,6,1,2.34,2,80,0,8,32,40
0,1,1,2,0,6,1,2.34,2,80,0,5,27,32
0,1,1,3,0,6,1,3.28,3,75,0,3,10,13
0,1,1,4,0,6,1,3.28,3,-1,0,0,1,1
0,1,1,5,0,6,2,3.28,1,75,6,0,1,1
0,1,1,6,0,6,1,2.34,2,-1,0,2,0,2
0,1,1,7,0,6,1,1.4,1,86,0,1,2,3
0,1,1,8,0,6,1,3.28,3,-1,0,1,7,8
0,1,1,9,0,6,1,7.04,7,76,0,8,6,14
0,1,1,10,0,6,1,9.86,10,76,17,12,24,36
0,1,1,11,0,6,1,8.92,6,81,19,26,30,56
0,1,1,12,0,6,1,11.74,12,77,19,29,55,84
0,1,1,13,0,6,2,13.62,14,72,20,47,47,94
0,1,1,14,0,6,2,13.62,14,72,19,35,71,106
0,1,1,15,0,6,2,12.68,13,77,20,40,70,110
0,1,1,16,0,6,2,11.74,12,82,20,41,52,93
0,1,1,17,0,6,2,12.68,13,82,19,15,52,67
0,1,1,18,0,6,3,11.74,12,88,17,9,26,35
0,1,1,19,0,6,3,11.74,12,88,17,6,31,37
0,1,1,20,0,6,2,10.8,11,87,17,11,25,36
0,1,1,21,0,6,2,10.8,11,87,13,3,31,34
0,1,1,22,0,6,2,10.8,11,94,15,11,17,28
0,1,1,23,0,6,2,13.62,14,88,20,15,24,39
0,1,1,0,0,0,2,13.62,14,88,20,4,13,17
0,1,1,1,0,0,2,12.68,13,94,17,1,16,17
0,1,1,2,0,0,2,11.74,12,100,19,1,8,9
0,1,1,3,0,0,2,13.62,14,94,13,2,4,6
0,1,1,4,0,0,2,13.62,14,94,13,2,1,3
0,1,1,6,0,0,3,11.74,12,-1,20,0,2,2
0,1,1,7,0,0,2,10.8,11,76,13,0,1,1
0,1,1,8,0,0,3,10.8,11,71,15,0,8,8
0,1,1,9,0,0,2,9.86,10,76,15,1,19,20
0,1,1,10,0,0,2,8.92,7,81,15,7,46,53
0,1,1,11,0,0,2,8.92,6,-1,17,16,54,70
0,1,1,12,0,0,2,8.92,6,66,20,20,73,93
0,1,1,13,0,0,2,8.92,7,66,9,11,64,75
0,1,1,14,0,0,3,8.92,7,76,13,4,55,59
0,1,1,15,0,0,3,7.98,6,81,11,19,55,74
0,1,1,16,0,0,3,7.98,6,71,11,9,67,76
0,1,1,17,0,0,1,7.98,6,57,13,7,58,65
0,1,1,18,0,0,2,8.92,6,46,22,10,43,53
0,1,1,19,0,0,1,7.04,3,42,30,1,29,30
0,1,1,20,0,0,1,6.1,2,39,24,5,17,22
0,1,1,21,0,0,1,4.22,-1,44,22,11,20,31
0,1,1,22,0,0,1,3.28,-2,44,20,0,9,9
0,1,1,23,0,0,1,2.34,-1,47,11,0,8,8
0,1,1,0,0,1,1,2.34,-3,44,24,0,5,5
0,1,1,1,0,1,1,1.4,-5,-1,28,0,2,2
0,1,1,4,0,1,1,-0.48,-7,47,26,0,1,1
0,1,1,5,0,1,1,-0.48,-7,47,19,0,3,3
0,1,1,6,0,1,1,-1.42,-9,50,26,0,30,30
0,1,1,7,0,1,1,-1.42,-7,-1,13,1,63,64
0,1,1,8,0,1,1,-1.42,-8,50,19,1,153,154
0,1,1,9,0,1,1,-0.48,-7,-1,26,7,81,88
0,1,1,10,0,1,1,0.46,-5,43,17,11,33,44
0,1,1,11,0,1,1,1.4,-4,40,22,10,41,51
0,1,1,12,0,1,1,2.34,-2,35,20,13,48,61
0,1,1,13,0,1,1,3.28,-2,35,19,8,53,61
0,1,1,14,0,1,1,4.22,0,30,19,11,66,77
0,1,1,15,0,1,1,4.22,0,30,17,14,58,72
0,1,1,16,0,1,1,4.22,0,-1,17,9,67,76
0,1,1,17,0,1,1,3.28,-1,30,15,11,146,157
0,1,1,18,0,1,1,3.28,1,32,7,9,148,157
0,1,1,19,0,1,1,1.4,1,47,0,8,102,110
0,1,1,20,0,1,1,1.4,-1,47,7,3,49,52
0,1,1,21,0,1,1,0.46,-3,-1,9,3,49,52
0,1,1,22,0,1,1,-1.42,-6,69,9,0,20,20
0,1,1,23,0,1,1,0.46,-2,-1,7,1,11,12
0,1,1,0,0,2,1,-0.48,-4,-1,7,0,5,5
0,1,1,1,0,2,1,-0.48,-4,59,7,0,2,2
0,1,1,2,0,2,1,-1.42,-6,63,9,0,1,1
0,1,1,4,0,2,1,-1.42,-4,63,6,0,2,2
0,1,1,5,0,2,1,-2.36,-6,68,7,0,4,4
0,1,1,6,0,2,1,-2.36,-6,74,7,0,36,36
0,1,1,7,0,2,1,-2.36,-6,74,9,2,92,94
0,1,1,8,0,2,1,-1.42,-6,69,11,2,177,179
0,1,1,9,0,2,1,-0.48,-6,64,15,2,98,100
0,1,1,10,0,2,2,-0.48,-7,-1,22,5,37,42
0,1,1,11,0,2,1,2.34,-2,51,20,7,50,57
0,1,1,12,0,2,1,2.34,-1,51,11,12,66,78
0,1,1,13,0,2,1,3.28,-1,56,13,18,79,97
0,1,1,14,0,2,1,4.22,1,52,15,9,54,63
0,1,1,15,0,2,1,5.16,2,52,17,17,48,65
0,1,1,16,0,2,1,6.1,3,49,17,15,68,83
0,1,1,17,0,2,1,5.16,2,48,15,10,202,212
0,1,1,18,0,2,1,4.22,1,-1,13,3,179,182
0,1,1,19,0,2,1,3.28,1,48,7,2,110,112
0,1,1,20,0,2,1,3.28,1,48,7,1,53,54
0,1,1,21,0,2,1,2.34,2,64,0,0,48,48
0,1,1,22,0,2,1,2.34,1,64,6,1,34,35
0,1,1,23,0,2,1,1.4,-1,69,6,2,9,11
0,1,1,0,0,3,1,1.4,1,64,0,0,6,6
0,1,1,1,0,3,1,-0.48,-3,74,6,0,6,6
0,1,1,2,0,3,1,-0.48,-3,-1,6,0,2,2
0,1,1,4,0,3,1,3.28,-1,48,15,0,2,2
0,1,1,5,0,3,1,2.34,-1,47,11,0,3,3
0,1,1,6,0,3,1,1.4,-3,47,15,0,33,33
0,1,1,7,0,3,1,0.46,-4,43,13,1,87,88
0,1,1,8,0,3,1,1.4,-4,-1,20,3,192,195
0,1,1,9,0,3,1,2.34,-3,37,22,6,109,115
0,1,1,10,0,3,1,2.34,-3,37,22,4,53,57
0,1,1,11,0,3,1,4.22,-1,33,22,12,34,46
0,1,1,12,0,3,1,4.22,-1,33,22,5,74,79
0,1,1,13,0,3,1,5.16,1,30,20,6,65,71
0,1,1,14,0,3,1,6.1,3,28,13,10,52,62
0,1,1,15,0,3,1,6.1,3,28,13,7,55,62
0,1,1,16,0,3,1,6.1,5,28,6,4,85,89
0,1,1,17,0,3,1,3.28,-1,38,13,4,186,190
0,1,1,18,0,3,1,3.28,0,38,9,3,166,169
0,1,1,19,0,3,1,3.28,1,38,7,5,127,132
0,1,1,20,0,3,1,2.34,-1,47,11,7,82,89
0,1,1,21,0,3,1,1.4,-3,51,13,3,40,43
0,1,1,22,0,3,1,0.46,-3,-1,9,1,41,42
0,1,1,23,0,3,1,1.4,1,47,0,1,18,19
0,1,1,0,0,4,1,0.46,0,55,0,0,11,11
0,1,1,1,0,4,1,-0.48,-1,64,0,0,4,4
0,1,1,2,0,4,1,-0.48,-1,64,0,0,2,2
0,1,1,4,0,4,2,-0.48,-3,64,6,0,1,1
0,1,1,5,0,4,2,-1.42,-4,-1,6,0,4,4
0,1,1,6,0,4,2,-1.42,-5,-1,7,0,36,36
0,1,1,7,0,4,2,-0.48,-1,59,0,0,95,95
0,1,1,8,0,4,1,-0.48,-1,59,0,3,216,219
0,1,1,9,0,4,2,0.46,0,51,0,6,116,122
0,1,1,10,0,4,1,1.4,1,47,0,3,42,45
0,1,1,11,0,4,1,2.34,1,44,6,2,57,59
0,1,1,12,0,4,1,4.22,3,-1,0,6,78,84
0,1,1,13,0,4,1,4.22,2,35,7,12,55,67
0,1,1,14,0,4,1,5.16,2,36,11,11,59,70
0,1,1,15,0,4,1,5.16,2,36,0,8,54,62
0,1,1,16,0,4,1,4.22,1,38,11,12,74,86
0,1,1,17,0,4,1,2.34,-1,-1,11,9,163,172
0,1,1,18,0,4,1,2.34,-1,-1,9,5,158,163
0,1,1,19,0,4,1,2.34,1,-1,6,3,109,112
0,1,1,20,0,4,1,1.4,-2,-1,11,3,66,69
0,1,1,21,0,4,2,2.34,-2,55,15,0,48,48
0,1,1,22,0,4,2,2.34,-2,51,19,1,51,52
0,1,1,23,0,4,2,1.4,-3,59,13,4,19,23
0,1,1,0,0,5,2,1.4,-3,-1,13,4,13,17
0,1,1,1,0,5,2,1.4,-3,69,15,2,5,7
0,1,1,2,0,5,2,1.4,-3,69,15,0,1,1
0,1,1,4,0,5,2,1.4,-2,69,9,0,1,1
0,1,1,5,0,5,3,2.34,2,55,0,0,5,5
0,1,1,6,0,5,2,1.4,1,69,0,8,26,34
0,1,1,7,0,5,1,1.4,-2,69,9,8,76,84
0,1,1,8,0,5,1,1.4,-3,-1,17,20,190,210
0,1,1,9,0,5,1,1.4,-4,47,20,9,125,134
0,1,1,10,0,5,1,2.34,-3,37,22,16,47,63
0,1,1,11,0,5,2,1.4,-3,40,15,19,48,67
0,1,1,12,0,5,2,1.4,-3,37,17,9,50,59
0,1,1,13,0,5,2,1.4,-4,37,19,9,64,73
0,1,1,14,0,5,2,1.4,-3,40,17,7,43,50
0,1,1,15,0,5,2,1.4,-2,-1,11,9,63,72
0,1,1,16,0,5,2,1.4,-2,37,11,5,82,87
0,1,1,17,0,5,2,1.4,1,37,0,9,178,187
0,1,1,18,0,5,1,1.4,-1,40,6,7,116,123
0,1,1,19,0,5,1,-0.48,-3,55,6,3,92,95
0,1,1,20,0,5,1,0.46,-2,47,7,1,50,51
0,1,1,21,0,5,1,0.46,-3,-1,9,0,39,39
0,1,1,22,0,5,2,0.46,-3,43,11,2,34,36
0,1,1,23,0,5,2,0.46,-3,51,11,1,14,15
0,1,1,0,0,6,2,0.46,-3,51,11,1,24,25
0,1,1,1,0,6,2,0.46,-2,55,6,1,15,16
0,1,1,2,0,6,2,0.46,0,55,0,3,13,16
0,1,1,3,0,6,3,0.46,-3,55,11,0,7,7
0,1,1,4,0,6,3,0.46,-3,55,11,0,1,1
0,1,1,5,0,6,2,-0.48,-5,74,11,0,5,5
0,1,1,6,0,6,2,-0.48,-5,74,11,0,2,2
0,1,1,7,0,6,2,-0.48,-4,74,7,1,8,9
0,1,1,8,0,6,3,-0.48,-4,93,7,0,15,15
0,1,1,9,0,6,3,-0.48,-4,93,7,0,20,20
0,1,1,10,0,6,2,0.46,-3,80,11,5,56,61
0,1,1,11,0,6,2,1.4,-4,69,26,2,60,62
0,1,1,12,0,6,2,1.4,-4,59,24,8,90,98
0,1,1,13,0,6,1,1.4,-4,44,22,7,95,102
0,1,1,14,0,6,1,1.4,-5,-1,33,12,83,95
0,1,1,15,0,6,1,1.4,-5,-1,30,5,69,74
0,1,1,16,0,6,1,0.46,-7,29,30,8,68,76
0,1,1,17,0,6,1,-0.48,-8,37,37,5,64,69
0,1,1,18,0,6,1,-1.42,-8,39,20,3,52,55
0,1,1,19,0,6,1,-1.42,-8,36,17,4,26,30
0,1,1,20,0,6,1,-2.36,-8,-1,17,0,28,28
0,1,1,21,0,6,1,-2.36,-9,39,24,2,35,37
0,1,1,22,0,6,1,-2.36,-9,36,26,1,33,34
0,1,1,23,0,6,1,-3.3,-12,39,30,0,22,22
0,1,1,0,0,0,1,-3.3,-11,42,26,1,24,25
0,1,1,1,0,0,1,-3.3,-12,42,31,0,12,12
0,1,1,2,0,0,1,-3.3,-12,46,31,0,11,11
0,1,1,3,0,0,1,-3.3,-11,46,28,0,4,4
0,1,1,4,0,0,1,-4.24,-10,53,13,0,1,1
0,1,1,5,0,0,1,-4.24,-10,53,13,0,1,1
0,1,1,6,0,0,1,-3.3,-10,-1,19,0,1,1
0,1,1,7,0,0,1,-4.24,-10,-1,13,1,5,6
0,1,1,8,0,0,1,-3.3,-10,49,19,0,10,10
0,1,1,9,0,0,1,-2.36,-11,46,35,0,19,19
0,1,1,10,0,0,1,-1.42,-9,-1,26,0,49,49
0,1,1,11,0,0,1,-0.48,-8,-1,35,2,47,49
0,1,1,12,0,0,1,0.46,-7,37,30,4,79,83
0,1,1,13,0,0,1,1.4,-5,34,30,6,69,75
0,1,1,14,0,0,1,2.34,-4,32,31,8,64,72
0,1,1,15,0,0,1,2.34,-3,35,24,5,77,82
0,1,1,16,0,0,1,1.4,-5,34,30,13,79,92
0,1,1,17,0,0,1,0.46,-6,37,26,3,59,62
0,1,1,18,0,0,1,-0.48,-7,40,22,4,44,48
0,1,1,19,0,0,1,-0.48,-7,43,22,1,40,41
0,1,1,20,0,0,1,-1.42,-8,46,17,0,38,38
0,1,1,21,0,0,1,-1.42,-9,46,28,1,19,20
0,1,1,22,0,0,1,-1.42,-8,46,20,5,10,15
0,1,1,23,0,0,1,-2.36,-7,50,13,0,6,6
0,1,1,0,0,1,1,-2.36,-8,50,19,2,3,5
0,1,1,1,0,1,1,-2.36,-8,50,19,1,0,1
0,1,1,2,0,1,1,-2.36,-8,50,15,0,3,3
0,1,1,3,0,1,1,-2.36,-8,50,15,0,1,1
0,1,1,4,0,1,1,-3.3,-8,54,9,1,2,3
0,1,1,5,0,1,1,-3.3,-9,54,17,0,3,3
0,1,1,6,0,1,1,-2.36,-8,-1,19,0,31,31
0,1,1,7,0,1,1,-2.36,-8,-1,15,2,75,77
0,1,1,8,0,1,2,-2.36,-8,50,19,4,184,188
0,1,1,9,0,1,2,-1.42,-8,50,17,2,92,94
0,1,1,10,0,1,2,-1.42,-8,50,20,0,31,31
0,1,1,11,0,1,2,-0.48,-7,47,19,2,28,30
0,1,1,12,0,1,2,1.4,-4,40,19,5,47,52
0,1,1,13,0,1,2,1.4,-4,40,19,4,50,54
0,1,1,14,0,1,2,1.4,-3,40,15,0,47,47
0,1,1,15,0,1,2,1.4,-3,40,15,2,43,45
0,1,1,16,0,1,1,1.4,-2,40,9,4,70,74
0,1,1,17,0,1,1,1.4,-1,40,7,4,174,178
0,1,1,18,0,1,1,1.4,-3,40,15,1,154,155
0,1,1,19,0,1,1,-0.48,-5,47,11,3,92,95
0,1,1,20,0,1,1,-0.48,-5,50,11,1,73,74
